shift_id,year,month,date,staff_id,staff_name,scheduled_start,scheduled_end,actual_start,actual_end,scheduled_hours,actual_hours,break_minutes,overtime_minutes,is_late,is_early_leave,notes
SH20240109_0055,2024,1,9,2,佐藤花子,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240109_0056,2024,1,9,4,山田美咲,14:00,18:00,13:55,18:00,4.0,4.1,0,5,FALSE,FALSE,
SH20240109_0057,2024,1,9,6,伊藤さくら,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240109_0058,2024,1,9,8,中村陽子,13:00,21:00,13:00,20:49,7.0,6.8,60,0,FALSE,TRUE,早退
SH20240109_0059,2024,1,9,10,加藤真由美,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240110_0060,2024,1,10,4,山田美咲,09:00,13:00,08:57,13:09,4.0,4.2,0,12,FALSE,FALSE,
SH20240110_0061,2024,1,10,7,渡辺翔,14:00,18:00,13:49,18:00,4.0,4.2,0,11,FALSE,FALSE,
SH20240110_0062,2024,1,10,8,中村陽子,14:00,18:00,14:00,17:43,4.0,3.7,0,0,FALSE,TRUE,早退
SH20240110_0063,2024,1,10,9,小林大輔,09:00,17:00,08:49,17:00,7.0,7.2,60,11,FALSE,FALSE,
SH20240110_0064,2024,1,10,10,加藤真由美,17:00,22:00,17:00,22:04,5.0,5.1,0,4,FALSE,FALSE,
SH20240111_0065,2024,1,11,1,田中太郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240111_0066,2024,1,11,2,佐藤花子,09:00,17:00,09:00,17:19,7.0,7.3,60,19,FALSE,FALSE,
SH20240111_0067,2024,1,11,3,鈴木次郎,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240111_0068,2024,1,11,6,伊藤さくら,09:00,17:00,09:00,17:19,7.0,7.3,60,19,FALSE,FALSE,
SH20240111_0069,2024,1,11,9,小林大輔,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240111_0070,2024,1,11,10,加藤真由美,17:00,22:00,17:03,22:00,5.0,5.0,0,0,TRUE,FALSE,遅刻
SH20240112_0071,2024,1,12,1,田中太郎,09:00,13:00,08:56,13:00,4.0,4.1,0,4,FALSE,FALSE,
SH20240112_0072,2024,1,12,3,鈴木次郎,14:00,18:00,13:53,17:46,4.0,3.9,0,0,FALSE,TRUE,早退
SH20240112_0073,2024,1,12,4,山田美咲,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240112_0074,2024,1,12,5,高橋健太,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240112_0075,2024,1,12,9,小林大輔,09:00,17:00,09:00,17:02,7.0,7.0,60,2,FALSE,FALSE,
SH20240112_0076,2024,1,12,10,加藤真由美,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240113_0077,2024,1,13,1,田中太郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240113_0078,2024,1,13,4,山田美咲,13:00,21:00,12:47,21:09,7.0,7.4,60,22,FALSE,FALSE,
SH20240113_0079,2024,1,13,6,伊藤さくら,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240113_0080,2024,1,13,10,加藤真由美,14:00,18:00,14:00,18:06,4.0,4.1,0,6,FALSE,FALSE,
SH20240114_0081,2024,1,14,2,佐藤花子,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240114_0082,2024,1,14,3,鈴木次郎,14:00,18:00,13:53,18:00,4.0,4.1,0,7,FALSE,FALSE,
SH20240114_0083,2024,1,14,4,山田美咲,09:00,17:00,09:00,17:06,7.0,7.1,60,6,FALSE,FALSE,
SH20240114_0084,2024,1,14,6,伊藤さくら,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240114_0085,2024,1,14,10,加藤真由美,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240115_0086,2024,1,15,1,田中太郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240115_0087,2024,1,15,2,佐藤花子,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240115_0088,2024,1,15,3,鈴木次郎,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240115_0089,2024,1,15,5,高橋健太,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240115_0090,2024,1,15,6,伊藤さくら,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240115_0091,2024,1,15,7,渡辺翔,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240116_0092,2024,1,16,1,田中太郎,09:00,17:00,09:00,16:46,7.0,6.8,60,0,FALSE,TRUE,早退
SH20240116_0093,2024,1,16,2,佐藤花子,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240116_0094,2024,1,16,4,山田美咲,09:00,17:00,09:00,17:14,7.0,7.2,60,14,FALSE,FALSE,
SH20240116_0095,2024,1,16,5,高橋健太,13:00,21:00,13:00,21:12,7.0,7.2,60,12,FALSE,FALSE,
SH20240116_0096,2024,1,16,8,中村陽子,13:00,21:00,13:13,21:00,7.0,6.8,60,0,TRUE,FALSE,遅刻
SH20240116_0097,2024,1,16,9,小林大輔,09:00,17:00,09:00,16:44,7.0,6.7,60,0,FALSE,TRUE,早退
SH20240116_0098,2024,1,16,10,加藤真由美,09:00,13:00,08:50,13:00,4.0,4.2,0,10,FALSE,FALSE,
SH20240117_0099,2024,1,17,1,田中太郎,14:00,18:00,13:59,17:58,4.0,4.0,0,0,FALSE,TRUE,早退
SH20240117_0100,2024,1,17,3,鈴木次郎,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240117_0101,2024,1,17,4,山田美咲,13:00,21:00,12:56,21:00,7.0,7.1,60,4,FALSE,FALSE,
SH20240117_0102,2024,1,17,5,高橋健太,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240117_0103,2024,1,17,6,伊藤さくら,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240118_0104,2024,1,18,2,佐藤花子,09:00,13:00,09:00,13:03,4.0,4.0,0,3,FALSE,FALSE,
SH20240118_0105,2024,1,18,3,鈴木次郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240118_0106,2024,1,18,5,高橋健太,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240118_0107,2024,1,18,8,中村陽子,09:00,17:00,08:59,16:58,7.0,7.0,60,0,FALSE,TRUE,早退
SH20240119_0108,2024,1,19,1,田中太郎,09:00,17:00,08:45,17:00,7.0,7.3,60,15,FALSE,FALSE,
SH20240119_0109,2024,1,19,3,鈴木次郎,14:00,18:00,14:00,18:19,4.0,4.3,0,19,FALSE,FALSE,
SH20240119_0110,2024,1,19,4,山田美咲,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240119_0111,2024,1,19,5,高橋健太,17:00,22:00,17:12,22:00,5.0,4.8,0,0,TRUE,FALSE,遅刻
SH20240119_0112,2024,1,19,6,伊藤さくら,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240119_0113,2024,1,19,8,中村陽子,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240119_0114,2024,1,19,9,小林大輔,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240119_0115,2024,1,19,10,加藤真由美,09:00,17:00,09:00,16:48,7.0,6.8,60,0,FALSE,TRUE,早退
SH20240120_0116,2024,1,20,2,佐藤花子,09:00,17:00,09:00,17:13,7.0,7.2,60,13,FALSE,FALSE,
SH20240120_0117,2024,1,20,3,鈴木次郎,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240120_0118,2024,1,20,4,山田美咲,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240120_0119,2024,1,20,5,高橋健太,14:00,18:00,13:58,18:00,4.0,4.0,0,2,FALSE,FALSE,
SH20240120_0120,2024,1,20,6,伊藤さくら,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240120_0121,2024,1,20,8,中村陽子,09:00,13:00,09:02,13:00,4.0,4.0,0,0,TRUE,FALSE,遅刻
SH20240120_0122,2024,1,20,9,小林大輔,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240120_0123,2024,1,20,10,加藤真由美,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240121_0124,2024,1,21,1,田中太郎,14:00,18:00,13:52,18:00,4.0,4.1,0,8,FALSE,FALSE,
SH20240121_0125,2024,1,21,2,佐藤花子,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240121_0126,2024,1,21,3,鈴木次郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240121_0127,2024,1,21,4,山田美咲,14:00,18:00,14:09,18:00,4.0,3.9,0,0,TRUE,FALSE,遅刻
SH20240121_0128,2024,1,21,5,高橋健太,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240121_0129,2024,1,21,7,渡辺翔,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240121_0130,2024,1,21,9,小林大輔,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240121_0131,2024,1,21,10,加藤真由美,13:00,21:00,13:13,21:00,7.0,6.8,60,0,TRUE,FALSE,遅刻
SH20240122_0132,2024,1,22,1,田中太郎,14:00,18:00,13:45,18:00,4.0,4.3,0,15,FALSE,FALSE,
SH20240122_0133,2024,1,22,2,佐藤花子,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240122_0134,2024,1,22,3,鈴木次郎,09:00,13:00,09:00,13:03,4.0,4.0,0,3,FALSE,FALSE,
SH20240122_0135,2024,1,22,6,伊藤さくら,14:00,18:00,14:06,18:00,4.0,3.9,0,0,TRUE,FALSE,遅刻
SH20240122_0136,2024,1,22,7,渡辺翔,13:00,21:00,13:00,21:02,7.0,7.0,60,2,FALSE,FALSE,
SH20240122_0137,2024,1,22,8,中村陽子,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240122_0138,2024,1,22,9,小林大輔,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240123_0139,2024,1,23,1,田中太郎,14:00,18:00,14:00,17:41,4.0,3.7,0,0,FALSE,TRUE,早退
SH20240123_0140,2024,1,23,3,鈴木次郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240123_0141,2024,1,23,4,山田美咲,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240123_0142,2024,1,23,5,高橋健太,13:00,21:00,13:00,20:59,7.0,7.0,60,0,FALSE,TRUE,早退
SH20240123_0143,2024,1,23,6,伊藤さくら,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240123_0144,2024,1,23,8,中村陽子,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240123_0145,2024,1,23,10,加藤真由美,13:00,21:00,13:00,20:54,7.0,6.9,60,0,FALSE,TRUE,早退
SH20240124_0146,2024,1,24,1,田中太郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240124_0147,2024,1,24,2,佐藤花子,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240124_0148,2024,1,24,5,高橋健太,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240124_0149,2024,1,24,6,伊藤さくら,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240125_0150,2024,1,25,1,田中太郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240125_0151,2024,1,25,3,鈴木次郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240125_0152,2024,1,25,4,山田美咲,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240125_0153,2024,1,25,5,高橋健太,09:00,17:00,09:00,16:59,7.0,7.0,60,0,FALSE,TRUE,早退
SH20240125_0154,2024,1,25,6,伊藤さくら,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240125_0155,2024,1,25,9,小林大輔,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240126_0156,2024,1,26,2,佐藤花子,13:00,21:00,13:12,20:41,7.0,6.5,60,0,TRUE,TRUE,"遅刻, 早退"
SH20240126_0157,2024,1,26,3,鈴木次郎,13:00,21:00,13:14,20:40,7.0,6.4,60,0,TRUE,TRUE,"遅刻, 早退"
SH20240127_0158,2024,1,27,1,田中太郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240127_0159,2024,1,27,3,鈴木次郎,14:00,18:00,14:00,18:10,4.0,4.2,0,10,FALSE,FALSE,
SH20240127_0160,2024,1,27,5,高橋健太,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240128_0161,2024,1,28,1,田中太郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240128_0162,2024,1,28,3,鈴木次郎,09:00,13:00,09:00,13:19,4.0,4.3,0,19,FALSE,FALSE,
SH20240128_0163,2024,1,28,4,山田美咲,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240128_0164,2024,1,28,5,高橋健太,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240128_0165,2024,1,28,9,小林大輔,13:00,21:00,13:00,21:04,7.0,7.1,60,4,FALSE,FALSE,
SH20240128_0166,2024,1,28,10,加藤真由美,09:00,13:00,09:00,13:19,4.0,4.3,0,19,FALSE,FALSE,
SH20240129_0167,2024,1,29,1,田中太郎,17:00,22:00,17:00,22:06,5.0,5.1,0,6,FALSE,FALSE,
SH20240129_0168,2024,1,29,2,佐藤花子,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240129_0169,2024,1,29,3,鈴木次郎,14:00,18:00,14:00,17:55,4.0,3.9,0,0,FALSE,TRUE,早退
SH20240129_0170,2024,1,29,4,山田美咲,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240129_0171,2024,1,29,5,高橋健太,09:00,17:00,08:48,17:00,7.0,7.2,60,12,FALSE,FALSE,
SH20240129_0172,2024,1,29,6,伊藤さくら,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240129_0173,2024,1,29,7,渡辺翔,13:00,21:00,13:14,21:00,7.0,6.8,60,0,TRUE,FALSE,遅刻
SH20240129_0174,2024,1,29,8,中村陽子,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240129_0175,2024,1,29,9,小林大輔,13:00,21:00,13:05,21:00,7.0,6.9,60,0,TRUE,FALSE,遅刻
SH20240130_0176,2024,1,30,1,田中太郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240130_0177,2024,1,30,2,佐藤花子,09:00,13:00,09:00,12:58,4.0,4.0,0,0,FALSE,TRUE,早退
SH20240130_0178,2024,1,30,4,山田美咲,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240130_0179,2024,1,30,6,伊藤さくら,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240130_0180,2024,1,30,7,渡辺翔,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240130_0181,2024,1,30,9,小林大輔,13:00,21:00,13:07,21:00,7.0,6.9,60,0,TRUE,FALSE,遅刻
SH20240130_0182,2024,1,30,10,加藤真由美,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240131_0183,2024,1,31,2,佐藤花子,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240131_0184,2024,1,31,3,鈴木次郎,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240131_0185,2024,1,31,5,高橋健太,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240131_0186,2024,1,31,6,伊藤さくら,09:00,17:00,09:04,17:00,7.0,6.9,60,0,TRUE,FALSE,遅刻
SH20240131_0187,2024,1,31,7,渡辺翔,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240131_0188,2024,1,31,9,小林大輔,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240131_0189,2024,1,31,10,加藤真由美,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240201_0190,2024,2,1,1,田中太郎,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240201_0191,2024,2,1,2,佐藤花子,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240201_0192,2024,2,1,4,山田美咲,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240201_0193,2024,2,1,5,高橋健太,09:00,17:00,09:00,17:16,7.0,7.3,60,16,FALSE,FALSE,
SH20240201_0194,2024,2,1,9,小林大輔,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240202_0195,2024,2,2,3,鈴木次郎,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240202_0196,2024,2,2,5,高橋健太,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240202_0197,2024,2,2,7,渡辺翔,14:00,18:00,14:08,18:00,4.0,3.9,0,0,TRUE,FALSE,遅刻
SH20240202_0198,2024,2,2,9,小林大輔,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240202_0199,2024,2,2,10,加藤真由美,14:00,18:00,14:00,18:17,4.0,4.3,0,17,FALSE,FALSE,
SH20240203_0200,2024,2,3,1,田中太郎,14:00,18:00,14:00,17:57,4.0,4.0,0,0,FALSE,TRUE,早退
SH20240203_0201,2024,2,3,9,小林大輔,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240203_0202,2024,2,3,10,加藤真由美,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240204_0203,2024,2,4,2,佐藤花子,17:00,22:00,17:00,21:44,5.0,4.7,0,0,FALSE,TRUE,早退
SH20240204_0204,2024,2,4,3,鈴木次郎,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240204_0205,2024,2,4,5,高橋健太,09:00,13:00,09:07,12:59,4.0,3.9,0,0,TRUE,TRUE,"遅刻, 早退"
SH20240204_0206,2024,2,4,7,渡辺翔,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240205_0207,2024,2,5,2,佐藤花子,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240205_0208,2024,2,5,4,山田美咲,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240205_0209,2024,2,5,5,高橋健太,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240205_0210,2024,2,5,6,伊藤さくら,09:00,13:00,09:05,12:46,4.0,3.7,0,0,TRUE,TRUE,"遅刻, 早退"
SH20240205_0211,2024,2,5,7,渡辺翔,09:00,13:00,09:13,13:00,4.0,3.8,0,0,TRUE,FALSE,遅刻
SH20240205_0212,2024,2,5,8,中村陽子,17:00,22:00,16:54,22:00,5.0,5.1,0,6,FALSE,FALSE,
SH20240205_0213,2024,2,5,9,小林大輔,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240206_0214,2024,2,6,3,鈴木次郎,13:00,21:00,13:10,21:00,7.0,6.8,60,0,TRUE,FALSE,遅刻
