payroll_id,year,month,staff_id,staff_name,work_days,work_hours,base_salary,overtime_pay,commute_allowance,other_allowances,gross_salary,health_insurance,pension_insurance,employment_insurance,income_tax,resident_tax,total_deduction,net_salary,payment_date,payment_status
PAY202404_0033,2024,4,3,鈴木次郎,24,138.8,152680,1238,3600,0,157518,0,0,0,3476,0,3476,154042,2024-05-10,paid
PAY202404_0034,2024,4,4,山田美咲,14,82.8,82800,667,1260,0,84727,0,0,0,0,0,0,84727,2024-05-10,paid
PAY202404_0035,2024,4,5,高橋健太,18,96.5,96500,2000,3780,0,102280,0,0,0,714,0,714,101566,2024-05-10,paid
PAY202404_0036,2024,4,6,伊藤さくら,14,84.3,92730,756,6300,0,99786,0,0,0,589,0,589,99197,2024-05-10,paid
PAY202404_0037,2024,4,7,渡辺翔,15,80.3,76285,1069,9000,0,86354,0,0,0,0,0,0,86354,2024-05-10,paid
PAY202404_0038,2024,4,8,中村陽子,15,75.4,90480,1075,2700,0,94255,0,0,0,313,0,313,93942,2024-05-10,paid
PAY202404_0039,2024,4,9,小林大輔,19,96.5,320000,2042,10260,0,332302,16449,30406,997,14680,8000,70532,261770,2024-05-10,paid
PAY202404_0040,2024,4,10,加藤真由美,15,81.7,89870,527,4500,0,94897,0,0,0,345,0,345,94552,2024-05-10,paid
PAY202405_0041,2024,5,1,田中太郎,20,105.1,350000,3053,7200,0,360253,17833,32963,1081,17475,8000,77352,282901,2024-06-10,paid
PAY202405_0042,2024,5,2,佐藤花子,22,115.0,280000,1786,5280,0,287066,14210,26267,861,10157,8000,59495,227571,2024-06-10,paid
PAY202405_0043,2024,5,3,鈴木次郎,23,129.3,142230,894,3450,0,146574,0,0,0,2929,0,2929,143645,2024-06-10,paid
PAY202405_0044,2024,5,4,山田美咲,16,81.1,81100,938,1440,0,83478,0,0,0,0,0,0,83478,2024-06-10,paid
PAY202405_0045,2024,5,5,高橋健太,18,94.9,94900,729,3780,0,99409,0,0,0,570,0,570,98839,2024-06-10,paid
PAY202405_0046,2024,5,6,伊藤さくら,14,72.2,79420,1123,6300,0,86843,0,0,0,0,0,0,86843,2024-06-10,paid
PAY202405_0047,2024,5,7,渡辺翔,11,60.9,57855,99,6600,0,64554,0,0,0,0,0,0,64554,2024-06-10,paid
PAY202405_0048,2024,5,8,中村陽子,15,80.8,96960,1525,2700,0,101185,0,0,0,659,0,659,100526,2024-06-10,paid
PAY202405_0049,2024,5,9,小林大輔,14,74.2,320000,1250,7560,0,328810,16276,30086,986,14331,8000,69679,259131,2024-06-10,paid
PAY202405_0050,2024,5,10,加藤真由美,16,86.3,94930,344,4800,0,100074,0,0,0,604,0,604,99470,2024-06-10,paid
PAY202406_0051,2024,6,1,田中太郎,22,117.6,350000,4284,7920,0,362204,17929,33142,1087,17670,8000,77828,284376,2024-07-10,paid
PAY202406_0052,2024,6,2,佐藤花子,25,132.2,280000,474,6000,0,286474,14180,26212,859,10097,8000,59348,227126,2024-07-10,paid
PAY202406_0053,2024,6,3,鈴木次郎,22,116.3,127930,1306,3300,0,132536,0,0,0,2227,0,2227,130309,2024-07-10,paid
PAY202406_0054,2024,6,4,山田美咲,19,103.8,103800,812,1710,0,106322,0,0,0,916,0,916,105406,2024-07-10,paid
PAY202406_0055,2024,6,5,高橋健太,16,87.2,87200,1063,3360,0,91623,0,0,0,181,0,181,91442,2024-07-10,paid
PAY202406_0056,2024,6,6,伊藤さくら,12,66.4,73040,573,5400,0,79013,0,0,0,0,0,0,79013,2024-07-10,paid
PAY202406_0057,2024,6,7,渡辺翔,15,91.7,87115,910,9000,0,97025,0,0,0,451,0,451,96574,2024-07-10,paid
PAY202406_0058,2024,6,8,中村陽子,10,46.2,55440,1050,1800,0,58290,0,0,0,0,0,0,58290,2024-07-10,paid
PAY202406_0059,2024,6,9,小林大輔,14,70.9,320000,1250,7560,0,328810,16276,30086,986,14331,8000,69679,259131,2024-07-10,paid
PAY202406_0060,2024,6,10,加藤真由美,19,101.9,112090,1283,5700,0,119073,0,0,0,1554,0,1554,117519,2024-07-10,paid
PAY202407_0061,2024,7,1,田中太郎,26,149.0,350000,2917,9360,0,362277,17933,33148,1087,17678,8000,77846,284431,2024-08-10,paid
PAY202407_0062,2024,7,2,佐藤花子,26,143.0,280000,3172,6240,0,289412,14326,26481,868,10391,8000,60066,229346,2024-08-10,paid
PAY202407_0063,2024,7,3,鈴木次郎,22,126.3,138930,458,3300,0,142688,0,0,0,2734,0,2734,139954,2024-08-10,paid
PAY202407_0064,2024,7,4,山田美咲,18,90.0,90000,1188,1620,0,92808,0,0,0,240,0,240,92568,2024-08-10,paid
PAY202407_0065,2024,7,5,高橋健太,17,98.1,98100,875,3570,0,102545,0,0,0,727,0,727,101818,2024-08-10,paid
PAY202407_0066,2024,7,6,伊藤さくら,14,74.8,82280,1444,6300,0,90024,0,0,0,101,0,101,89923,2024-08-10,paid
PAY202407_0067,2024,7,7,渡辺翔,11,65.6,62320,970,6600,0,69890,0,0,0,0,0,0,69890,2024-08-10,paid
PAY202407_0068,2024,7,8,中村陽子,14,73.4,88080,1175,2520,0,91775,0,0,0,189,0,189,91586,2024-08-10,paid
PAY202407_0069,2024,7,9,小林大輔,19,101.5,320000,625,10260,0,330885,16379,30276,993,14539,8000,70187,260698,2024-08-10,paid
PAY202407_0070,2024,7,10,加藤真由美,15,77.5,85250,367,4500,0,90117,0,0,0,106,0,106,90011,2024-08-10,paid
PAY202408_0071,2024,8,1,田中太郎,18,97.0,350000,1003,6480,0,357483,17695,32710,1072,17198,8000,76675,280808,2024-09-10,paid
PAY202408_0072,2024,8,2,佐藤花子,22,114.3,280000,3901,5280,0,289181,14314,26460,868,10368,8000,60010,229171,2024-09-10,paid
PAY202408_0073,2024,8,3,鈴木次郎,19,119.4,131340,275,2850,0,134465,0,0,0,2323,0,2323,132142,2024-09-10,paid
PAY202408_0074,2024,8,4,山田美咲,17,99.7,99700,250,1530,0,101480,0,0,0,674,0,674,100806,2024-09-10,paid
PAY202408_0075,2024,8,5,高橋健太,18,101.9,101900,1146,3780,0,106826,0,0,0,941,0,941,105885,2024-09-10,paid
PAY202408_0076,2024,8,6,伊藤さくら,18,105.3,115830,573,8100,0,124503,0,0,0,1825,0,1825,122678,2024-09-10,paid
PAY202408_0077,2024,8,7,渡辺翔,10,56.5,53675,297,6000,0,59972,0,0,0,0,0,0,59972,2024-09-10,paid
PAY202408_0078,2024,8,8,中村陽子,17,102.7,123240,0,3060,0,126300,0,0,0,1915,0,1915,124385,2024-09-10,paid
PAY202408_0079,2024,8,9,小林大輔,13,66.4,320000,1208,7020,0,328228,16247,30033,985,14273,8000,69538,258690,2024-09-10,paid
PAY202408_0080,2024,8,10,加藤真由美,13,68.2,75020,733,3900,0,79653,0,0,0,0,0,0,79653,2024-09-10,paid
PAY202409_0081,2024,9,1,田中太郎,20,112.8,350000,2598,7200,0,359798,17810,32922,1079,17430,8000,77241,282557,2024-10-10,paid
PAY202409_0082,2024,9,2,佐藤花子,20,99.6,280000,1313,4800,0,286113,14163,26179,858,10061,8000,59261,226852,2024-10-10,paid
PAY202409_0083,2024,9,3,鈴木次郎,24,132.1,145310,802,3600,0,149712,0,0,0,3086,0,3086,146626,2024-10-10,paid
PAY202409_0084,2024,9,4,山田美咲,10,56.0,56000,271,900,0,57171,0,0,0,0,0,0,57171,2024-10-10,paid
PAY202409_0085,2024,9,5,高橋健太,13,65.8,65800,1396,2730,0,69926,0,0,0,0,0,0,69926,2024-10-10,paid
PAY202409_0086,2024,9,6,伊藤さくら,15,81.7,89870,321,6750,0,96941,0,0,0,447,0,447,96494,2024-10-10,paid
PAY202409_0087,2024,9,7,渡辺翔,13,72.1,68495,376,7800,0,76671,0,0,0,0,0,0,76671,2024-10-10,paid
PAY202409_0088,2024,9,8,中村陽子,14,70.9,85080,625,2520,0,88225,0,0,0,11,0,11,88214,2024-10-10,paid
PAY202409_0089,2024,9,9,小林大輔,14,73.9,320000,0,7560,0,327560,16214,29972,983,14206,8000,69375,258185,2024-10-10,paid
PAY202409_0090,2024,9,10,加藤真由美,16,96.1,105710,2063,4800,0,112573,0,0,0,1229,0,1229,111344,2024-10-10,paid
PAY202410_0091,2024,10,1,田中太郎,20,106.7,350000,2552,7200,0,359752,17808,32917,1079,17425,8000,77229,282523,2024-11-10,paid
PAY202410_0092,2024,10,2,佐藤花子,24,124.8,280000,2078,5760,0,287838,14248,26337,864,10234,8000,59683,228155,2024-11-10,paid
PAY202410_0093,2024,10,3,鈴木次郎,19,106.9,117590,894,2850,0,121334,0,0,0,1667,0,1667,119667,2024-11-10,paid
PAY202410_0094,2024,10,4,山田美咲,17,82.0,82000,583,1530,0,84113,0,0,0,0,0,0,84113,2024-11-10,paid
PAY202410_0095,2024,10,5,高橋健太,13,69.9,69900,938,2730,0,73568,0,0,0,0,0,0,73568,2024-11-10,paid
PAY202410_0096,2024,10,6,伊藤さくら,13,59.3,65230,481,5850,0,71561,0,0,0,0,0,0,71561,2024-11-10,paid
PAY202410_0097,2024,10,7,渡辺翔,13,75.9,72105,178,7800,0,80083,0,0,0,0,0,0,80083,2024-11-10,paid
PAY202410_0098,2024,10,8,中村陽子,16,88.2,105840,350,2880,0,109070,0,0,0,1054,0,1054,108016,2024-11-10,paid
PAY202410_0099,2024,10,9,小林大輔,14,72.5,320000,0,7560,0,327560,16214,29972,983,14206,8000,69375,258185,2024-11-10,paid
PAY202410_0100,2024,10,10,加藤真由美,12,60.1,66110,802,3600,0,70512,0,0,0,0,0,0,70512,2024-11-10,paid
PAY202411_0101,2024,11,1,田中太郎,23,117.8,350000,2188,8280,0,360468,17843,32983,1081,17497,8000,77404,283064,2024-12-10,paid
PAY202411_0102,2024,11,2,佐藤花子,22,113.5,280000,2370,5280,0,287650,14239,26320,863,10215,8000,59637,228013,2024-12-10,paid
PAY202411_0103,2024,11,3,鈴木次郎,20,104.3,114730,825,3000,0,118555,0,0,0,1528,0,1528,117027,2024-12-10,paid
PAY202411_0104,2024,11,4,山田美咲,19,109.4,109400,813,1710,0,111923,0,0,0,1196,0,1196,110727,2024-12-10,paid
PAY202411_0105,2024,11,5,高橋健太,17,92.6,92600,1563,3570,0,97733,0,0,0,487,0,487,97246,2024-12-10,paid
PAY202411_0106,2024,11,6,伊藤さくら,17,94.8,104280,1031,7650,0,112961,0,0,0,1248,0,1248,111713,2024-12-10,paid
PAY202411_0107,2024,11,7,渡辺翔,14,81.2,77140,396,8400,0,85936,0,0,0,0,0,0,85936,2024-12-10,paid
PAY202411_0108,2024,11,8,中村陽子,15,85.4,102480,1125,2700,0,106305,0,0,0,915,0,915,105390,2024-12-10,paid
PAY202411_0109,2024,11,9,小林大輔,16,89.4,320000,3083,8640,0,331723,16420,30353,995,14622,8000,70390,261333,2024-12-10,paid
PAY202411_0110,2024,11,10,加藤真由美,11,60.1,66110,275,3300,0,69685,0,0,0,0,0,0,69685,2024-12-10,paid
PAY202412_0111,2024,12,1,田中太郎,20,115.8,350000,547,7200,0,357747,17708,32734,1073,17225,8000,76740,281007,2024-13-10,paid
PAY202412_0112,2024,12,2,佐藤花子,24,127.8,280000,2042,5760,0,287802,14246,26334,863,10230,8000,59673,228129,2024-13-10,paid
PAY202412_0113,2024,12,3,鈴木次郎,20,107.8,118580,619,3000,0,122199,0,0,0,1710,0,1710,120489,2024-13-10,paid
PAY202412_0114,2024,12,4,山田美咲,17,105.1,105100,833,1530,0,107463,0,0,0,973,0,973,106490,2024-13-10,paid
PAY202412_0115,2024,12,5,高橋健太,19,109.3,109300,625,3990,0,113915,0,0,0,1296,0,1296,112619,2024-13-10,paid
PAY202412_0116,2024,12,6,伊藤さくら,9,51.9,57090,481,4050,0,61621,0,0,0,0,0,0,61621,2024-13-10,paid
PAY202412_0117,2024,12,7,渡辺翔,11,60.8,57760,317,6600,0,64677,0,0,0,0,0,0,64677,2024-13-10,paid
PAY202412_0118,2024,12,8,中村陽子,15,91.2,109440,325,2700,0,112465,0,0,0,1223,0,1223,111242,2024-13-10,paid
PAY202412_0119,2024,12,9,小林大輔,14,73.4,320000,2750,7560,0,330310,16350,30223,991,14481,8000,70045,260265,2024-13-10,paid
PAY202412_0120,2024,12,10,加藤真由美,18,96.1,105710,1031,5400,0,112141,0,0,0,1207,0,1207,110934,2024-13-10,paid
